2026-04-04 23:36:26 | INFO | core | ✅ Готов сигнал по монете TRUUSDT.
2026-04-04 23:36:32 | INFO | core | ✅ Готов сигнал по монете RLSUSDT.
2026-04-04 23:36:35 | INFO | core | ✅ Готов сигнал по монете DUSDT.
2026-04-04 23:36:41 | INFO | core | ✅ Готов сигнал по монете ALGOUSDT.
2026-04-04 23:37:03 | INFO | core | ✅ Готов сигнал по монете BMTUSDT.
2026-04-04 23:37:04 | INFO | core | ✅ Готов сигнал по монете B3USDT.
2026-04-04 23:37:06 | INFO | core | ✅ Готов сигнал по монете TUTUSDT.
2026-04-04 23:37:10 | INFO | core | ✅ Готов сигнал по монете YBUSDT.
2026-04-04 23:37:24 | INFO | core | ✅ Готов сигнал по монете XTZUSDT.
2026-04-04 23:37:26 | INFO | core | ✅ Готов сигнал по монете ACEUSDT.
2026-04-04 23:37:35 | INFO | core | ✅ Готов сигнал по монете FIOUSDT.
2026-04-04 23:37:35 | INFO | core | ✅ Готов сигнал по монете NFPUSDT.
2026-04-04 23:37:36 | INFO | core | ✅ Готов сигнал по монете XVSUSDT.
2026-04-04 23:38:06 | INFO | core | Остановка скринера, закрытие сессий и задач...
2026-04-04 23:38:06 | INFO | core | Ожидание завершения 1 фоновых задач...
2026-04-04 23:38:06 | INFO | core | Все процессы корректно завершены.
