2026-04-05 13:48:19 | DEBUG | signal | HAEDALUSDT: Δ 5.0, cur: -0.03787878787878633, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | CTKUSDT: Δ 5.0, cur: 0.062189054726361305, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | JSTUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | SIGNUSDT: Δ 5.0, cur: 0.2103997595431338, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | INITUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | TROLLUSDT: Δ 5.0, cur: -0.1800180018001883, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | ZORAUSDT: Δ 5.0, cur: 0.07220216606499154, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | HYPERUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | AERGOUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | BANKUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | KERNELUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | FLUIDUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | WCTUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | PROMPTUSDT: Δ 5.0, cur: -0.06459948320414294, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | FHEUSDT: Δ 5.0, cur: -0.10632642211589147, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | BABYUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | ATHUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | STOUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | GUNUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | MLNUSDT: Δ 2.5, cur: -0.12590494176896455, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | WALUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | JELLYJELLYUSDT: Δ 5.0, cur: -0.09671179883945447, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | PLUMEUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | NILUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | PARTIUSDT: Δ 2.5, cur: -0.11990407673861256, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | EPICUSDT: Δ 2.5, cur: -0.07867820613689142, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | SIRENUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | FORMUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | TUTUSDT: Δ 2.5, cur: 0.11560693641618028, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | MUBARAKUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | BMTUSDT: Δ 2.5, cur: -0.06887052341597516, ttl: 10
